sid,BUFF,NOT,AND,PI,PO,LP
6,35077,51512,41204,4561,4181,61
4,34448,52221,41244,4561,4181,60
9,35136,51079,41017,4561,4181,62
7,34720,51771,41155,4561,4181,56
11,33269,53192,41140,4561,4181,55
10,33937,52772,41264,4561,4181,62
14,33622,52603,41022,4561,4181,59
12,35276,51107,41101,4561,4181,61
16,34064,52133,41008,4561,4181,61
15,34778,51963,41280,4561,4181,59
19,34126,52383,41164,4561,4181,63
17,33129,53606,41277,4561,4181,55
23,34687,51580,41043,4561,4181,60
22,33197,53890,41453,4561,4181,60
26,34000,51959,40889,4561,4181,63
24,35307,50942,41034,4561,4181,62
28,33801,52928,41274,4561,4181,54
27,34560,51869,41124,4561,4181,60
30,34341,52564,41362,4561,4181,62
29,35580,51199,41299,4561,4181,56
32,34637,52102,41279,4561,4181,51
31,34461,52000,41140,4561,4181,61
34,32740,53533,41046,4561,4181,62
33,34944,51719,41241,4561,4181,62
38,34708,51929,41228,4561,4181,60
36,32552,54301,41336,4561,4181,61
40,34916,51531,41133,4561,4181,57
39,33030,53491,41170,4561,4181,62
47,34926,51431,41088,4561,4181,65
44,34029,52298,41073,4561,4181,62
49,33686,52963,41234,4561,4181,49
48,34219,53432,41735,4561,4181,61
55,35424,50881,41062,4561,4181,62
51,33197,53284,41150,4561,4181,55
57,34500,52317,41318,4561,4181,61
56,33960,52177,40978,4561,4181,60
60,34869,51598,41143,4561,4181,64
58,33783,53084,41343,4561,4181,61
62,33024,53249,41046,4561,4181,57
61,32903,53396,41059,4561,4181,62
66,33355,53832,41503,4561,4181,59
64,34983,51376,41089,4561,4181,61
69,34923,51342,41042,4561,4181,60
67,33790,52723,41166,4561,4181,62
71,34332,52417,41284,4561,4181,62
70,33050,53045,40957,4561,4181,62
74,34508,51751,41039,4561,4181,61
73,33651,53152,41311,4561,4181,54
78,33825,52480,41062,4561,4181,62
75,34954,51219,40996,4561,4181,63
80,33827,52516,41081,4561,4181,62
79,33489,52990,41149,4561,4181,53
84,34308,52545,41336,4561,4181,65
83,34180,52249,41124,4561,4181,61
87,33637,52942,41199,4561,4181,62
85,33841,52472,41066,4561,4181,61
90,34908,50983,40855,4561,4181,55
89,35435,50782,41018,4561,4181,59
96,34381,51892,41046,4561,4181,61
91,34136,52489,41222,4561,4181,61
98,33644,52981,41222,4561,4181,58
97,34768,51409,40998,4561,4181,65
100,33470,52841,41065,4561,4181,65
99,34777,51766,41181,4561,4181,60
102,33360,53205,41192,4561,4181,55
101,33879,53232,41465,4561,4181,54
104,35120,51827,41383,4561,4181,58
103,33980,52687,41243,4561,4181,61
106,34299,52170,41144,4561,4181,56
105,34262,52919,41500,4561,4181,63
109,34585,51926,41165,4561,4181,62
108,34504,51825,41074,4561,4181,60
111,32087,54300,41103,4561,4181,61
110,34006,52317,41071,4561,4181,63
114,34076,52145,41020,4561,4181,63
113,35864,50725,41204,4561,4181,64
116,33216,53033,41034,4561,4181,56
115,33422,53459,41350,4561,4181,62
118,32984,53327,41065,4561,4181,57
117,35166,51075,41030,4561,4181,62
120,34073,52338,41115,4561,4181,56
119,33769,52572,41080,4561,4181,59
126,33748,52913,41240,4561,4181,63
122,34300,51969,41044,4561,4181,55
133,34514,51713,41023,4561,4181,58
130,34808,51397,41012,4561,4181,64
136,34093,51924,40918,4561,4181,60
134,34138,52701,41329,4561,4181,50
138,34379,51726,40962,4561,4181,63
137,33611,53078,41254,4561,4181,50
141,33663,52602,41042,4561,4181,55
139,33008,53609,41218,4561,4181,60
143,34110,52431,41180,4561,4181,59
142,33838,52307,40982,4561,4181,63
147,34554,51693,41033,4561,4181,63
144,35751,52248,41909,4561,4181,54
151,33457,52660,40968,4561,4181,63
148,33226,52765,40905,4561,4181,62
154,34220,52007,41023,4561,4181,62
153,33724,52977,41260,4561,4181,59
156,34025,53072,41458,4561,4181,61
155,34193,52168,41090,4561,4181,63
158,33523,53186,41264,4561,4181,56
157,33349,53208,41188,4561,4181,59
162,32988,53817,41312,4561,4181,62
161,34282,52077,41089,4561,4181,61
164,33873,52922,41307,4561,4181,60
163,34269,52850,41469,4561,4181,49
167,33028,53065,40956,4561,4181,60
165,34473,51546,40919,4561,4181,61
169,33145,52966,40965,4561,4181,63
168,34199,52206,41112,4561,4181,62
173,32181,53772,40886,4561,4181,60
172,34650,52475,41472,4561,4181,58
175,33833,52412,41032,4561,4181,64
174,34406,52463,41344,4561,4181,58
180,33635,52586,41020,4561,4181,62
179,34200,51949,40984,4561,4181,64
184,33973,51980,40886,4561,4181,62
181,33681,53206,41353,4561,4181,62
186,33681,52986,41243,4561,4181,60
185,32925,53796,41270,4561,4181,54
189,34164,52313,41148,4561,4181,61
188,35271,51448,41269,4561,4181,50
191,33745,52522,41043,4561,4181,61
190,32834,53281,40967,4561,4181,62
193,34696,51563,41039,4561,4181,60
192,33846,52361,41013,4561,4181,60
195,34439,51766,41012,4561,4181,60
194,34120,52709,41324,4561,4181,61
198,33643,52558,41010,4561,4181,61
196,34119,52344,41141,4561,4181,56
200,33472,53767,41529,4561,4181,50
199,32900,53875,41297,4561,4181,50
204,33818,52519,41078,4561,4181,60
202,33312,52881,41006,4561,4181,61
208,33059,54034,41456,4561,4181,60
206,33687,53322,41414,4561,4181,56
212,34094,52593,41253,4561,4181,54
209,33947,52506,41136,4561,4181,63
215,33931,52794,41272,4561,4181,57
213,32813,53118,40875,4561,4181,60
217,33274,53241,41167,4561,4181,60
216,33925,52838,41291,4561,4181,50
219,33583,52636,41019,4561,4181,65
218,34862,51765,41223,4561,4181,50
221,33913,52624,41178,4561,4181,64
220,34773,51638,41115,4561,4181,63
223,33324,53105,41124,4561,4181,63
222,35199,51366,41192,4561,4181,62
226,32173,54456,41224,4561,4181,63
224,34932,52089,41420,4561,4181,49
228,33819,52686,41162,4561,4181,61
227,33844,52507,41085,4561,4181,62
230,34062,52271,41076,4561,4181,57
229,33283,53240,41171,4561,4181,61
232,35252,51407,41239,4561,4181,58
231,32706,53517,41021,4561,4181,64
235,33461,53084,41182,4561,4181,59
233,33132,53255,41103,4561,4181,57
239,35025,51720,41282,4561,4181,56
237,34673,51604,41048,4561,4181,58
244,34433,52498,41375,4561,4181,49
243,33545,53232,41298,4561,4181,50
245,33188,53201,41104,4561,4181,63
246,33308,53481,41304,4561,4181,61
247,34825,52002,41323,4561,4181,62
248,34276,51977,41036,4561,4181,64
255,34621,51680,41060,4561,4181,62
256,34532,51393,40872,4561,4181,60
258,32893,53506,41109,4561,4181,62
260,35177,51556,41276,4561,4181,57
261,34259,52084,41081,4561,4181,55
262,33617,53630,41533,4561,4181,62
263,34510,52319,41324,4561,4181,50
264,33087,53616,41261,4561,4181,63
266,35328,50805,40976,4561,4181,61
267,33526,52945,41145,4561,4181,61
268,33284,53793,41448,4561,4181,61
269,33314,53015,41074,4561,4181,63
270,33186,53511,41258,4561,4181,49
271,34138,52251,41104,4561,4181,61
273,34743,51644,41103,4561,4181,62
274,35828,50577,41112,4561,4181,63
276,33785,52754,41179,4561,4181,53
278,33246,52949,41007,4561,4181,60
279,33121,53348,41144,4561,4181,63
281,34154,52439,41206,4561,4181,58
282,33222,52799,40920,4561,4181,62
283,33716,52865,41200,4561,4181,54
286,34302,51835,40978,4561,4181,61
291,33419,52844,41041,4561,4181,64
292,35090,50997,40953,4561,4181,60
293,33486,53047,41176,4561,4181,62
295,35364,50885,41034,4561,4181,61
297,34563,51764,41073,4561,4181,63
298,34322,52473,41307,4561,4181,50
299,33495,52952,41133,4561,4181,64
300,34320,51827,40983,4561,4181,62
302,34572,52159,41275,4561,4181,52
305,32974,53267,41030,4561,4181,61
306,33655,52720,41097,4561,4181,64
308,34019,52766,41302,4561,4181,54
310,32672,53845,41168,4561,4181,63
315,34281,52752,41426,4561,4181,49
316,34659,52354,41416,4561,4181,49
317,32668,54037,41262,4561,4181,61
318,33189,53038,41023,4561,4181,61
319,33169,53330,41159,4561,4181,61
321,33522,52547,40944,4561,4181,61
323,33422,52791,41016,4561,4181,62
324,35170,51401,41195,4561,4181,56
328,33966,52489,41137,4561,4181,61
329,35355,51326,41250,4561,4181,56
330,35539,52088,41723,4561,4181,58
331,34841,52286,41473,4561,4181,56
332,33474,53107,41200,4561,4181,61
334,34201,52494,41257,4561,4181,61
335,34982,51105,40953,4561,4181,62
336,33909,52446,41087,4561,4181,53
337,32858,54383,41530,4561,4181,61
338,34330,52797,41473,4561,4181,61
339,33779,52622,41110,4561,4181,59
340,33063,53994,41438,4561,4181,61
341,34074,52193,41043,4561,4181,56
342,32740,53279,40919,4561,4181,63
343,35111,51296,41113,4561,4181,62
345,32661,53426,40953,4561,4181,62
346,35019,51518,41178,4561,4181,61
347,33212,53051,41041,4561,4181,59
348,33443,52752,41007,4561,4181,60
349,33840,52741,41200,4561,4181,58
350,35464,51087,41185,4561,4181,60
351,35054,51709,41291,4561,4181,50
352,33983,52412,41107,4561,4181,55
354,33338,52815,40986,4561,4181,63
355,33647,52534,41000,4561,4181,62
356,34660,51719,41099,4561,4181,63
357,34197,52694,41355,4561,4181,59
359,32927,53394,41070,4561,4181,58
360,33936,52429,41092,4561,4181,62
361,34314,51847,40990,4561,4181,60
362,33419,53084,41161,4561,4181,61
363,32868,53581,41134,4561,4181,63
366,33710,52421,40975,4561,4181,61
367,35142,50983,40972,4561,4181,61
369,33786,52971,41288,4561,4181,53
371,34850,51991,41330,4561,4181,50
372,32872,53945,41318,4561,4181,64
375,34191,52874,41442,4561,4181,60
376,34561,51698,41039,4561,4181,62
379,35378,50615,40906,4561,4181,65
380,34846,51291,40978,4561,4181,61
381,32791,53594,41102,4561,4181,61
384,34124,52545,41244,4561,4181,61
386,34237,51982,41019,4561,4181,63
387,34872,51935,41313,4561,4181,49
388,34228,52505,41276,4561,4181,59
390,33489,52854,41081,4561,4181,63
393,33615,53256,41345,4561,4181,62
394,33382,52801,41001,4561,4181,60
397,32627,53996,41221,4561,4181,64
398,33261,53086,41083,4561,4181,62
399,33896,52187,40951,4561,4181,61
401,34729,51554,41051,4561,4181,63
402,35281,51980,41540,4561,4181,56
405,34856,51241,40958,4561,4181,60
407,33022,52783,40812,4561,4181,63
408,34763,51560,41071,4561,4181,60
409,33083,53742,41322,4561,4181,60
411,35139,51862,41410,4561,4181,58
412,34241,51998,41029,4561,4181,62
413,34717,51900,41218,4561,4181,58
416,33264,53139,41111,4561,4181,61
418,32599,53486,40952,4561,4181,63
419,34579,51830,41114,4561,4181,63
420,34763,51794,41188,4561,4181,56
421,34886,52733,41719,4561,4181,58
422,34269,52494,41291,4561,4181,63
423,33277,52792,40944,4561,4181,64
424,34588,51215,40811,4561,4181,60
425,33869,52628,41158,4561,4181,62
427,33737,52876,41216,4561,4181,59
428,35360,51015,41097,4561,4181,60
429,33511,52684,41007,4561,4181,60
430,34767,51762,41174,4561,4181,55
432,34231,52398,41224,4561,4181,54
433,33459,52674,40976,4561,4181,63
434,34892,51885,41298,4561,4181,51
435,34269,51860,40974,4561,4181,61
439,34658,51761,41119,4561,4181,64
442,33641,52796,41128,4561,4181,58
444,33204,53189,41106,4561,4181,56
445,33731,52580,41065,4561,4181,65
447,33074,53479,41186,4561,4181,65
450,33742,52913,41237,4561,4181,54
451,34038,52647,41252,4561,4181,64
452,35275,50918,41006,4561,4181,62
453,33974,52425,41109,4561,4181,63
454,34172,52699,41345,4561,4181,57
458,32189,54126,41067,4561,4181,63
459,33302,53377,41249,4561,4181,60
461,34115,52546,41240,4561,4181,55
462,33461,52662,40971,4561,4181,61
464,32920,54231,41485,4561,4181,61
465,33499,53496,41407,4561,4181,54
467,33358,53687,41432,4561,4181,62
468,35616,50753,41094,4561,4181,58
469,36112,50065,40998,4561,4181,62
472,34829,51994,41321,4561,4181,50
473,35369,51096,41142,4561,4181,61
475,33559,52946,41162,4561,4181,63
477,34727,51914,41230,4561,4181,58
481,34256,52695,41385,4561,4181,49
482,33017,53358,41097,4561,4181,60
483,35190,51369,41189,4561,4181,60
484,34088,52825,41366,4561,4181,59
485,32933,53618,41185,4561,4181,55
486,33163,53608,41295,4561,4181,61
487,33600,52639,41029,4561,4181,61
488,33753,52682,41127,4561,4181,64
489,33264,53573,41328,4561,4181,64
490,35213,51228,41130,4561,4181,62
493,33761,53072,41326,4561,4181,60
495,33572,53169,41280,4561,4181,49
497,34864,51565,41124,4561,4181,61
498,33323,52990,41066,4561,4181,62
499,35027,51624,41235,4561,4181,62
500,34187,51926,40966,4561,4181,61
501,33934,52651,41202,4561,4181,54
503,34095,52342,41128,4561,4181,59
504,35071,51388,41139,4561,4181,55
505,33473,52936,41114,4561,4181,63
506,34663,51462,40972,4561,4181,55
507,33287,52900,41003,4561,4181,61
509,33982,52377,41089,4561,4181,56
510,33692,52885,41198,4561,4181,56
511,33332,53957,41554,4561,4181,62
514,33578,52989,41193,4561,4181,49
516,33428,52807,41027,4561,4181,60
518,33123,53418,41180,4561,4181,64
519,35160,51145,41062,4561,4181,62
521,33983,52274,41038,4561,4181,57
522,34538,52077,41217,4561,4181,62
523,34734,51857,41205,4561,4181,62
524,34939,51164,40961,4561,4181,58
525,33699,53106,41312,4561,4181,56
529,34031,52886,41368,4561,4181,49
530,33211,53172,41101,4561,4181,59
531,35081,51658,41279,4561,4181,56
534,34138,52369,41163,4561,4181,59
535,32935,54378,41566,4561,4181,62
536,34376,51967,41081,4561,4181,62
540,34001,52554,41187,4561,4181,62
541,33887,52440,41073,4561,4181,62
542,34053,52838,41355,4561,4181,64
545,34780,52631,41615,4561,4181,62
547,34346,52649,41407,4561,4181,61
548,34789,51300,40954,4561,4181,62
550,33719,53256,41397,4561,4181,61
551,33826,52705,41175,4561,4181,55
552,34999,51818,41318,4561,4181,49
556,33261,52922,41001,4561,4181,62
558,33759,52966,41272,4561,4181,49
559,35060,51507,41193,4561,4181,61
562,33742,52637,41099,4561,4181,59
563,34543,51586,40974,4561,4181,61
564,35158,51461,41219,4561,4181,57
565,32623,54708,41575,4561,4181,50
566,34037,52420,41138,4561,4181,60
567,34516,51639,40987,4561,4181,59
569,33371,52644,40917,4561,4181,63
572,34079,52006,40952,4561,4181,59
573,33525,52568,40956,4561,4181,64
575,35279,51584,41341,4561,4181,63
576,32970,54323,41556,4561,4181,49
577,34761,51720,41150,4561,4181,54
578,34811,51722,41176,4561,4181,61
579,34164,52441,41212,4561,4181,61
581,34990,51543,41176,4561,4181,61
583,34657,51542,41009,4561,4181,56
584,33400,52723,40971,4561,4181,61
585,34608,51821,41124,4561,4181,56
586,33301,53242,41181,4561,4181,50
588,33009,53364,41096,4561,4181,56
590,34552,51813,41092,4561,4181,54
591,34118,52813,41375,4561,4181,62
593,34920,51719,41229,4561,4181,55
594,34342,52275,41218,4561,4181,49
597,34326,51891,41018,4561,4181,63
598,33244,52997,41030,4561,4181,61
599,34521,51786,41063,4561,4181,58
600,34003,52006,40914,4561,4181,60
601,34091,52810,41360,4561,4181,60
603,34279,52396,41247,4561,4181,62
607,33438,53179,41218,4561,4181,59
608,32941,53854,41307,4561,4181,50
609,34442,52353,41307,4561,4181,63
610,34881,51730,41215,4561,4181,54
611,34439,52270,41264,4561,4181,55
613,35328,51397,41272,4561,4181,55
616,34576,51615,41005,4561,4181,63
617,32558,54229,41303,4561,4181,58
619,33346,53629,41397,4561,4181,62
620,32547,54094,41230,4561,4181,60
621,33171,53670,41330,4561,4181,60
622,32909,52890,40809,4561,4181,63
624,32477,53720,41008,4561,4181,62
627,34819,51934,41286,4561,4181,57
628,34819,52530,41584,4561,4181,61
629,33408,52887,41057,4561,4181,61
630,33101,53242,41081,4561,4181,64
631,33321,52950,41045,4561,4181,61
632,33990,51965,40887,4561,4181,63
633,32897,53354,41035,4561,4181,62
634,34862,51379,41030,4561,4181,58
635,33683,52754,41128,4561,4181,61
636,33438,52933,41095,4561,4181,63
637,34292,51897,41004,4561,4181,56
639,33795,53458,41536,4561,4181,52
641,34237,51946,41001,4561,4181,63
645,34769,51552,41070,4561,4181,62
648,34968,51533,41160,4561,4181,63
649,33616,52483,40959,4561,4181,65
650,33219,53272,41155,4561,4181,58
651,35008,51293,41060,4561,4181,63
653,33824,52415,41029,4561,4181,62
654,34076,52849,41372,4561,4181,66
657,33679,52920,41209,4561,4181,54
660,34169,52098,41043,4561,4181,65
661,34481,52118,41209,4561,4181,56
663,34105,52238,41081,4561,4181,63
666,34021,52918,41379,4561,4181,49
667,34984,51663,41233,4561,4181,65
670,34462,51759,41020,4561,4181,63
672,34348,51783,40975,4561,4181,54
673,33166,53623,41304,4561,4181,64
674,33595,53798,41606,4561,4181,49
676,33898,52813,41265,4561,4181,49
677,32750,53643,41106,4561,4181,63
678,33974,52595,41194,4561,4181,54
682,33933,52560,41156,4561,4181,60
685,33973,52390,41091,4561,4181,58
687,34220,52369,41204,4561,4181,56
688,34381,52180,41190,4561,4181,58
689,33649,52668,41068,4561,4181,62
690,33518,52519,40928,4561,4181,57
693,32922,53201,40971,4561,4181,62
701,33685,52344,40924,4561,4181,65
702,33755,53602,41588,4561,4181,51
705,33097,52976,40946,4561,4181,58
706,32465,54084,41184,4561,4181,56
707,34998,51435,41126,4561,4181,59
709,34473,52044,41168,4561,4181,65
710,34688,51801,41154,4561,4181,56
711,33580,53363,41381,4561,4181,50
712,34083,52368,41135,4561,4181,58
713,34792,51531,41071,4561,4181,56
714,34403,52236,41229,4561,4181,54
717,33475,53240,41267,4561,4181,58
718,33749,52792,41180,4561,4181,51
719,34933,51500,41126,4561,4181,58
720,34238,52391,41224,4561,4181,49
724,33587,52804,41105,4561,4181,59
725,33590,52805,41107,4561,4181,57
726,34471,52564,41427,4561,4181,49
727,33911,52190,40960,4561,4181,63
728,33833,52408,41030,4561,4181,61
729,33800,52643,41131,4561,4181,59
730,33487,52882,41094,4561,4181,60
731,33988,52517,41162,4561,4181,58
732,33429,52784,41016,4561,4181,63
733,33706,52839,41182,4561,4181,62
734,33210,53007,41018,4561,4181,62
735,33346,53021,41093,4561,4181,60
737,35271,51094,41092,4561,4181,58
738,32650,53477,40973,4561,4181,58
739,34649,51796,41132,4561,4181,62
740,34375,52366,41280,4561,4181,59
741,33763,52764,41173,4561,4181,62
742,34363,52152,41167,4561,4181,50
744,33456,53159,41217,4561,4181,62
745,34234,52589,41321,4561,4181,49
747,34420,52349,41294,4561,4181,60
748,32693,54298,41405,4561,4181,61
749,34575,51704,41049,4561,4181,62
751,33918,52839,41288,4561,4181,62
752,33228,53805,41426,4561,4181,49
753,33465,52876,41080,4561,4181,63
754,33768,52327,40957,4561,4181,64
755,33450,52741,41005,4561,4181,63
757,34927,52464,41605,4561,4181,55
759,34150,52405,41187,4561,4181,65
760,34495,52198,41256,4561,4181,61
762,34220,52957,41498,4561,4181,52
763,32356,54157,41166,4561,4181,61
764,34343,52472,41317,4561,4181,58
766,34771,51764,41177,4561,4181,56
767,34069,52348,41118,4561,4181,63
771,33946,53385,41575,4561,4181,58
772,33807,52608,41117,4561,4181,56
773,34333,52106,41129,4561,4181,64
777,34720,51749,41144,4561,4181,59
779,34570,52229,41309,4561,4181,62
780,32771,53790,41190,4561,4181,60
